,AGENCE,CODE RESPONSABLE,,,,,,,,,,
CLIENACLI,CLIENAAGE,CLIENARES,CLIENACRE,SABVERSION,,N AGENCE,N CODE RESP,,N° Prospect,Agence,Libellé Agence,
10570,102,21,1140604,0,,,,,10570,34730,MONTPELLIER,
11055,102,21,1140604,0,,,,,11055,34730,MONTPELLIER,
11323,102,21,1140604,0,,,,,11323,37730,TOURS,
11917,102,21,1140604,0,,,,,11917,31850,D.R./TOULOUSE,
12035,102,21,1140604,0,,,,,12035,13730,MARSEILLE,
12582,102,21,1140604,0,,,,,12582,13730,MARSEILLE,
12819,102,21,1140604,0,,,,,12819,13730,MARSEILLE,
13010,102,21,1140604,0,,,,,13010,13730,MARSEILLE,
13332,102,21,1140604,0,,,,,13332,13730,MARSEILLE,
13344,102,21,1140604,0,,,,,13344,13730,MARSEILLE,
13352,102,21,1140604,0,,,,,13352,13730,MARSEILLE,
13964,102,21,1140604,0,,,,,13964,13730,MARSEILLE,
14435,102,21,1140604,0,,,,,14435,13730,MARSEILLE,
15078,102,21,1140604,0,,,,,15078,34730,MONTPELLIER,
16069,102,21,1140604,0,,,,,16069,64730,PAU,
16149,102,21,1140604,0,,,,,16149,64730,PAU,
16348,102,21,1140604,0,,,,,16348,64730,PAU,
16354,102,21,1140604,0,,,,,16354,64730,PAU,
16387,102,21,1140604,0,,,,,16387,64730,PAU,
16897,102,21,1140604,0,,,,,16897,54730,NANCY,
16948,102,21,1140604,0,,,,,16948,54730,NANCY,
16959,102,21,1140604,0,,,,,16959,54730,NANCY,
16996,102,21,1140604,0,,,,,16996,54730,NANCY,
17043,102,21,1140604,0,,,,,17043,21730,DIJON,
17139,102,21,1140604,0,,,,,17139,54730,NANCY,
17187,102,21,1140604,0,,,,,17187,54730,NANCY,
17196,102,21,1140604,0,,,,,17196,54730,NANCY,
17227,102,21,1140604,0,,,,,17227,54730,NANCY,
17367,102,21,1140604,0,,,,,17367,54730,NANCY,
17373,102,21,1140604,0,,,,,17373,54730,NANCY,
17379,102,21,1140604,0,,,,,17379,54730,NANCY,
17659,102,21,1140604,0,,,,,17659,06730,NICE,
18035,102,21,1140604,0,,,,,18035,13730,MARSEILLE,
18062,102,21,1140604,0,,,,,18062,13730,MARSEILLE,
18302,102,21,1140604,0,,,,,18302,06730,NICE,
18367,102,21,1140604,0,,,,,18367,06730,NICE,
18513,102,21,1140604,0,,,,,18513,06730,NICE,
18768,102,21,1140604,0,,,,,18768,06730,NICE,
18822,102,21,1140604,0,,,,,18822,06730,NICE,
18904,102,21,1140604,0,,,,,18904,06730,NICE,
19107,102,21,1140604,0,,,,,19107,06730,NICE,
19114,102,21,1140604,0,,,,,19114,06730,NICE,
19393,102,21,1140604,0,,,,,19393,13730,MARSEILLE,
19409,102,21,1140604,0,,,,,19409,06730,NICE,
19635,102,21,1140604,0,,,,,19635,06730,NICE,
19675,102,21,1140604,0,,,,,19675,06730,NICE,
19714,102,21,1140604,0,,,,,19714,06730,NICE,
19722,102,21,1140604,0,,,,,19722,06730,NICE,
19752,102,21,1140604,0,,,,,19752,06730,NICE,
19860,102,21,1140604,0,,,,,19860,92730,PARIS,
19889,102,21,1140604,0,,,,,19889,92730,PARIS,
20105,102,21,1140604,0,,,,,20105,13730,MARSEILLE,
20711,102,21,1140604,0,,,,,20711,13730,MARSEILLE,
20793,102,21,1140604,0,,,,,20793,80730,AMIENS,
20989,102,21,1140604,0,,,,,20989,80730,AMIENS,
20997,102,21,1140604,0,,,,,20997,80730,AMIENS,
21159,102,21,1140604,0,,,,,21159,69730,LYON,
21182,102,21,1140604,0,,,,,21182,01730,BOURG EN BRESSE,
21411,102,21,1140604,0,,,,,21411,74790,ANNECY,
21483,102,21,1140604,0,,,,,21483,74790,ANNECY,
21494,102,21,1140604,0,,,,,21494,74790,ANNECY,
21743,102,21,1140604,0,,,,,21743,74790,ANNECY,
21799,102,21,1140604,0,,,,,21799,74790,ANNECY,
21845,102,21,1140604,0,,,,,21845,74790,ANNECY,
