,AGENCE,CODE RESPONSABLE,,,
CLIENACLI,CLIENAAGE,CLIENARES,CLIENACRE,SABVERSION,
10570,102,21,1140604,0,
11055,102,21,1140604,0,
11323,102,21,1140604,0,
11917,102,21,1140604,0,
12035,102,21,1140604,0,
12582,102,21,1140604,0,
12819,102,21,1140604,0,
13010,102,21,1140604,0,
13332,102,21,1140604,0,
13344,102,21,1140604,0,
13352,102,21,1140604,0,
13964,102,21,1140604,0,
14435,102,21,1140604,0,
15078,102,21,1140604,0,
16069,102,21,1140604,0,
16149,102,21,1140604,0,
16348,102,21,1140604,0,
16354,102,21,1140604,0,
16387,102,21,1140604,0,
16897,102,21,1140604,0,
16948,102,21,1140604,0,
16959,102,21,1140604,0,
16996,102,21,1140604,0,
17043,102,21,1140604,0,
17139,102,21,1140604,0,
17187,102,21,1140604,0,
17196,102,21,1140604,0,
17227,102,21,1140604,0,
17367,102,21,1140604,0,
17373,102,21,1140604,0,
17379,102,21,1140604,0,
17659,102,21,1140604,0,
18035,102,21,1140604,0,
18062,102,21,1140604,0,
18302,102,21,1140604,0,
18367,102,21,1140604,0,
18513,102,21,1140604,0,
18768,102,21,1140604,0,
18822,102,21,1140604,0,
18904,102,21,1140604,0,
19107,102,21,1140604,0,
19114,102,21,1140604,0,
19393,102,21,1140604,0,
19409,102,21,1140604,0,
19635,102,21,1140604,0,
19675,102,21,1140604,0,
19714,102,21,1140604,0,
19722,102,21,1140604,0,
19752,102,21,1140604,0,
19860,102,21,1140604,0,
19889,102,21,1140604,0,
20105,102,21,1140604,0,
20711,102,21,1140604,0,
20793,102,21,1140604,0,
20989,102,21,1140604,0,
20997,102,21,1140604,0,
21159,102,21,1140604,0,
21182,102,21,1140604,0,
21411,102,21,1140604,0,
21483,102,21,1140604,0,
21494,102,21,1140604,0,
21743,102,21,1140604,0,
21799,102,21,1140604,0,
21845,102,21,1140604,0,
22113,102,21,1140604,0,
22126,102,21,1140604,0,
22182,102,21,1140604,0,
22307,102,21,1140604,0,
22310,102,21,1140604,0,
22357,102,21,1140604,0,
22380,102,21,1140604,0,
22491,102,21,1140604,0,
22733,102,21,1140604,0,
22763,102,21,1140604,0,
22787,102,21,1140604,0,
22800,102,21,1140604,0,
22811,102,21,1140604,0,
22870,102,21,1140604,0,
22949,102,21,1140604,0,
22968,102,21,1140604,0,
23084,102,21,1140604,0,
23258,102,21,1140604,0,
23347,102,21,1140604,0,
23427,102,21,1140604,0,
23871,102,21,1140604,0,
23933,102,21,1140604,0,
24115,102,21,1140604,0,
24168,102,21,1140604,0,
39812,102,21,1140604,0,
56583,102,21,1140604,0,
64604,102,21,1140604,0,
65995,102,21,1140604,0,
68729,102,21,1140604,0,
71932,102,21,1140604,0,
72798,102,21,1140604,0,
77177,102,21,1140604,0,
79725,102,21,1140604,0,
87540,102,21,1140604,0,
89235,102,21,1140604,0,
89273,102,21,1140604,0,
90142,102,21,1140604,0,
92485,102,21,1140604,0,
92602,102,21,1140604,0,
93445,102,21,1140604,0,
93699,102,21,1140604,0,
93805,102,21,1140604,0,
96089,102,21,1140604,0,
97382,102,21,1140604,0,
97912,102,21,1140604,0,
98424,102,21,1140604,0,
98590,102,21,1140604,0,
98858,102,21,1140604,0,
98870,102,21,1140604,0,
98943,102,21,1140604,0,
99694,102,21,1140604,0,
100169,102,21,1140604,0,
100252,102,21,1140604,0,
101190,102,21,1140604,0,
101362,102,21,1140604,0,
101503,102,21,1140604,0,
101680,102,21,1140604,0,
102503,102,21,1140604,0,
103372,102,21,1140604,0,
103897,102,21,1140604,0,
104551,102,21,1140604,0,
104681,102,21,1140604,0,
105013,102,21,1140604,0,
105286,102,21,1140604,0,
105398,102,21,1140604,0,
107077,102,21,1140604,0,
107359,102,21,1140604,0,
108379,102,21,1140604,0,
108583,102,21,1140604,0,
109451,102,21,1140604,0,
109498,102,21,1140604,0,
110103,102,21,1140604,0,
110115,102,21,1140604,0,
110411,102,21,1140604,0,
110488,102,21,1140604,0,
110499,102,21,1140604,0,
110810,102,21,1140604,0,
110842,102,21,1140604,0,
111569,102,21,1140604,0,
111678,102,21,1140604,0,
111687,102,21,1140604,0,
111832,102,21,1140604,0,
113288,102,21,1140604,0,
113889,102,21,1140604,0,
114135,102,21,1140604,0,
114407,102,21,1140604,0,
114509,102,21,1140604,0,
114679,102,21,1140604,0,
115185,102,21,1140604,0,
115419,102,21,1140604,0,
116502,102,21,1140604,0,
116554,102,21,1140604,0,
116608,102,21,1140604,0,
116781,102,21,1140604,0,
116837,102,21,1140604,0,
117070,102,21,1140604,0,
117119,102,21,1140604,0,
117238,102,21,1140604,0,
117360,102,21,1140604,0,
118508,102,21,1140604,0,
118775,102,21,1140604,0,
118995,102,21,1140604,0,
119242,102,21,1140604,0,
119294,102,21,1140604,0,
119451,102,21,1140604,0,
119889,102,21,1140604,0,
120174,102,21,1140604,0,
120187,102,21,1140604,0,
120240,102,21,1140604,0,
120930,102,21,1140604,0,
120974,102,21,1140604,0,
121903,102,21,1140604,0,
121925,102,21,1140604,0,
122183,102,21,1140604,0,
122184,102,21,1140604,0,
122596,102,21,1140604,0,
123258,102,21,1140604,0,
123885,102,21,1140604,0,
124257,102,21,1140604,0,
124294,102,21,1140604,0,
124421,102,21,1140604,0,
124678,102,21,1140604,0,
124853,102,21,1140604,0,
125155,102,21,1140604,0,
125231,102,21,1140604,0,
125333,102,21,1140604,0,
125409,102,21,1140604,0,
125775,102,21,1140604,0,
126205,102,21,1140604,0,
127017,102,21,1140604,0,
127188,102,21,1140604,0,
127216,102,21,1140604,0,
127414,102,21,1140604,0,
127905,102,21,1140604,0,
128078,102,21,1140604,0,
128719,102,21,1140604,0,
128991,102,21,1140604,0,
129054,102,21,1140604,0,
129209,102,21,1140604,0,
129282,102,21,1140604,0,
129284,102,21,1140604,0,
129660,102,21,1140604,0,
129698,102,21,1140604,0,
130158,102,21,1140604,0,
131510,102,21,1140604,0,
131514,102,21,1140604,0,
131562,102,21,1140604,0,
132062,102,21,1140604,0,
133185,102,21,1140604,0,
133290,102,21,1140604,0,
133404,102,21,1140604,0,
133458,102,21,1140604,0,
133517,102,21,1140604,0,
133526,102,21,1140604,0,
134129,102,21,1140604,0,
134139,102,21,1140604,0,
134164,102,21,1140604,0,
134672,102,21,1140604,0,
134999,102,21,1140604,0,
135092,102,21,1140604,0,
135188,102,21,1140604,0,
135415,102,21,1140604,0,
135473,102,21,1140604,0,
135758,102,21,1140604,0,
136001,102,21,1140604,0,
136030,102,21,1140604,0,
136164,102,21,1140604,0,
136172,102,21,1140604,0,
136216,102,21,1140604,0,
136766,102,21,1140604,0,
137274,102,21,1140604,0,
137989,102,21,1140604,0,
138033,102,21,1140604,0,
138050,102,21,1140604,0,
138591,102,21,1140604,0,
138634,102,21,1140604,0,
138703,102,21,1140604,0,
139010,102,21,1140604,0,
139321,102,21,1140604,0,
139332,102,21,1140604,0,
139421,102,21,1140604,0,
140267,102,21,1140604,0,
140454,102,21,1140604,0,
141143,102,21,1140604,0,
141179,102,21,1140604,0,
141187,102,21,1140604,0,
141225,102,21,1140604,0,
141444,102,21,1140604,0,
141449,102,21,1140604,0,
141615,102,21,1140604,0,
142070,102,21,1140604,0,
142835,102,21,1140604,0,
143143,102,21,1140604,0,
143692,102,21,1140604,0,
144388,102,21,1140604,0,
144463,102,21,1140604,0,
144600,102,21,1140604,0,
144964,102,21,1140604,0,
144979,102,21,1140604,0,
145245,102,21,1140604,0,
145522,102,21,1140604,0,
145746,102,21,1140604,0,
145845,102,21,1140604,0,
145935,102,21,1140604,0,
145950,102,21,1140604,0,
146005,102,21,1140604,0,
146022,102,21,1140604,0,
146099,102,21,1140604,0,
148107,102,21,1140604,0,
148342,102,21,1140604,0,
149467,102,21,1140604,0,
149477,102,21,1140604,0,
149526,102,21,1140604,0,
150287,102,21,1140604,0,
150499,102,21,1140604,0,
150707,102,21,1140604,0,
150738,102,21,1140604,0,
151055,102,21,1140604,0,
151611,102,21,1140604,0,
152266,102,21,1140604,0,
152275,102,21,1140604,0,
152753,102,21,1140604,0,
153442,102,21,1140604,0,
153450,102,21,1140604,0,
153738,102,21,1140604,0,
153769,102,21,1140604,0,
153798,102,21,1140604,0,
153814,102,21,1140604,0,
153851,102,21,1140604,0,
154158,102,21,1140604,0,
154449,102,21,1140604,0,
154708,102,21,1140604,0,
154950,102,21,1140604,0,
155001,102,21,1140604,0,
155048,102,21,1140604,0,
155572,102,21,1140604,0,
155675,102,21,1140604,0,
155851,102,21,1140604,0,
155963,102,21,1140604,0,
155984,102,21,1140604,0,
156183,102,21,1140604,0,
156781,102,21,1140604,0,
156895,102,21,1140604,0,
156931,102,21,1140604,0,
157355,102,21,1140604,0,
158401,102,21,1140604,0,
158429,102,21,1140604,0,
158781,102,21,1140604,0,
158804,102,21,1140604,0,
158866,102,21,1140604,0,
158912,102,21,1140604,0,
159036,102,21,1140604,0,
159273,102,21,1140604,0,
159770,102,21,1140604,0,
159808,102,21,1140604,0,
160611,102,21,1140604,0,
160735,102,21,1140604,0,
161389,102,21,1140604,0,
161577,102,21,1140604,0,
161846,102,21,1140604,0,
162067,102,21,1140604,0,
162791,102,21,1140604,0,
162894,102,21,1140604,0,
163144,102,21,1140604,0,
163223,102,21,1140604,0,
163245,102,21,1140604,0,
163278,102,21,1140604,0,
163412,102,21,1140604,0,
163576,102,21,1140604,0,
164072,102,21,1140604,0,
164512,102,21,1140604,0,
164543,102,21,1140604,0,
164556,102,21,1140604,0,
164728,102,21,1140604,0,
164730,102,21,1140604,0,
164940,102,21,1140604,0,
165021,102,21,1140604,0,
165589,102,21,1140604,0,
165764,102,21,1140604,0,
166138,102,21,1140604,0,
166152,102,21,1140604,0,
166159,102,21,1140604,0,
166336,102,21,1140604,0,
166537,102,21,1140604,0,
166846,102,21,1140604,0,
166939,102,21,1140604,0,
167147,102,21,1140604,0,
167529,102,21,1140604,0,
167644,102,21,1140604,0,
167677,102,21,1140604,0,
167760,102,21,1140604,0,
168269,102,21,1140604,0,
168388,102,21,1140604,0,
168414,102,21,1140604,0,
168776,102,21,1140604,0,
169127,102,21,1140604,0,
169214,102,21,1140604,0,
169342,102,21,1140604,0,
169603,102,21,1140604,0,
170001,102,21,1140604,0,
170063,102,21,1140604,0,
170211,102,21,1140604,0,
170790,102,21,1140604,0,
170794,102,21,1140604,0,
170894,102,21,1140604,0,
170899,102,21,1140604,0,
170990,102,21,1140604,0,
171095,102,21,1140604,0,
171865,102,21,1140604,0,
171894,102,21,1140604,0,
172250,102,21,1140604,0,
172411,102,21,1140604,0,
172515,102,21,1140604,0,
172543,102,21,1140604,0,
172751,102,21,1140604,0,
172780,102,21,1140604,0,
173009,102,21,1140604,0,
173271,102,21,1140604,0,
173496,102,21,1140604,0,
173511,102,21,1140604,0,
173553,102,21,1140604,0,
173847,102,21,1140604,0,
173967,102,21,1140604,0,
173980,102,21,1140604,0,
174017,102,21,1140604,0,
174073,102,21,1140604,0,
174104,102,21,1140604,0,
174107,102,21,1140604,0,
174293,102,21,1140604,0,
174602,102,21,1140604,0,
174716,102,21,1140604,0,
175120,102,21,1140604,0,
175467,102,21,1140604,0,
175874,102,21,1140604,0,
175951,102,21,1140604,0,
175977,102,21,1140604,0,
176931,102,21,1140604,0,
176955,102,21,1140604,0,
177270,102,21,1140604,0,
177325,102,21,1140604,0,
177402,102,21,1140604,0,
177487,102,21,1140604,0,
178091,102,21,1140604,0,
178186,102,21,1140604,0,
178248,102,21,1140604,0,
178367,102,21,1140604,0,
178501,102,21,1140604,0,
178522,102,21,1140604,0,
178637,102,21,1140604,0,
178733,102,21,1140604,0,
178770,102,21,1140604,0,
178967,102,21,1140604,0,
179377,102,21,1140604,0,
179404,102,21,1140604,0,
179461,102,21,1140604,0,
179476,102,21,1140604,0,
179776,102,21,1140604,0,
180342,102,21,1140604,0,
180508,102,21,1140604,0,
182104,102,21,1140604,0,
